method,total_excess_lh,total_abnormal_lh,method_excess_lh,method_abnormal_lh,method_pct_total_excess,method_pct_total_abnormal,incident_reports_pct_excess,incident_reports_pct_abnormal,incident_excluded_excess_lh,incident_excluded_abnormal_lh,incident_excluded_pct_excess,incident_excluded_pct_abnormal,incident_excluded_near_zero_exc,incident_excluded_near_zero_abn,detector_only_excess_lh,detector_only_abnormal_lh,detector_only_pct_excess,detector_only_pct_abnormal,overlap_excess_lh,overlap_abnormal_lh,labeled_steps,anomaly_rate_pct,network,n_episodes
Speed deviation only,7874.8789,6751.2139,1822.5129,1766.0981,23.14,26.16,5.75,6.5,59.1291,55.66,0.75,0.82,74.4,77.9,1428.5151,1383.0259,18.14,20.49,393.9979,383.0722,137022,1.657,tsmo,6129
Speed deviation only,6324.5093,5858.377,1595.1477,1592.8855,25.22,27.19,14.0,14.87,243.8025,229.6967,3.85,3.92,54.8,60.2,953.2251,951.6243,15.07,16.24,641.9225,641.2614,108534,1.908,cranberry,2736
Temporal gradient only,7874.8789,6751.2139,3221.5454,2984.1501,40.91,44.2,5.75,6.5,28.031,25.2716,0.36,0.37,78.3,81.6,2796.4495,2570.6895,35.51,38.08,425.0959,413.4606,351816,4.254,tsmo,16996
Temporal gradient only,6324.5093,5858.377,1561.9144,1560.1443,24.7,26.63,14.0,14.87,270.9799,256.8179,4.28,4.38,52.7,57.9,947.1693,946.0042,14.98,16.15,614.7452,614.1401,81196,1.428,cranberry,2051
Upstream slowdown only,7874.8789,6751.2139,1326.95,1274.8262,16.85,18.88,5.75,6.5,67.0592,63.6419,0.85,0.94,73.3,76.8,940.8821,899.7358,11.95,13.33,386.0677,375.0903,97288,1.176,tsmo,4759
Upstream slowdown only,6324.5093,5858.377,1197.9968,1196.3341,18.94,20.42,14.0,14.87,288.9908,274.8177,4.57,4.69,52.6,57.8,601.2625,600.1938,9.51,10.25,596.7343,596.1403,61307,1.078,cranberry,1795
Deviation + Gradient,7874.8789,6751.2139,3916.4331,3645.1514,49.73,53.99,5.75,6.5,15.9006,13.407,0.2,0.2,82.2,85.6,3479.2068,3219.8264,44.18,47.69,437.2263,425.3252,532036,6.434,tsmo,30933
Deviation + Gradient,6324.5093,5858.377,2249.022,2239.5715,35.56,38.23,14.0,14.87,177.6466,163.9603,2.81,2.8,57.5,63.1,1540.9436,1532.5741,24.36,26.16,708.0784,706.9977,225110,3.958,cranberry,11387
Deviation + Slowdown,7874.8789,6751.2139,1965.6548,1894.4065,24.96,28.06,5.75,6.5,55.8548,52.5032,0.71,0.78,74.9,78.5,1568.3826,1508.1775,19.92,22.34,397.2722,386.229,168165,2.034,tsmo,8063
Deviation + Slowdown,6324.5093,5858.377,1627.821,1625.0361,25.74,27.74,14.0,14.87,239.9538,225.8763,3.79,3.86,55.0,60.5,982.0497,979.9545,15.53,16.73,645.7713,645.0817,116492,2.048,cranberry,3420
Full ensemble w/o persistence,7874.8789,6751.2139,4046.1094,3751.033,51.38,55.56,5.75,6.5,14.7299,12.3155,0.19,0.18,82.8,86.1,3607.7119,3324.6162,45.81,49.24,438.397,426.4167,591106,7.148,tsmo,35353
Full ensemble w/o persistence,6324.5093,5858.377,2270.1177,2259.7393,35.89,38.57,14.0,14.87,176.8999,163.2297,2.8,2.79,57.6,63.2,1561.2924,1552.0107,24.69,26.49,708.8252,707.7283,236691,4.162,cranberry,12395
Full ensemble w/o recovery,7874.8789,6751.2139,2493.1904,2449.6646,31.66,36.28,5.75,6.5,36.9647,33.163,0.47,0.49,78.5,82.5,2077.0281,2044.0955,26.38,30.28,416.1623,405.5692,271000,3.277,tsmo,40184
Full ensemble w/o recovery,6324.5093,5858.377,2020.6721,2017.4507,31.95,34.44,14.0,14.87,212.2421,198.1112,3.36,3.38,54.7,60.1,1347.1892,1344.6039,21.3,22.95,673.483,672.8468,144906,2.548,cranberry,13509
Full ensemble,7874.8789,6751.2139,4046.1094,3751.033,51.38,55.56,5.75,6.5,14.7299,12.3155,0.19,0.18,82.8,86.1,3607.7119,3324.6162,45.81,49.24,438.397,426.4167,591106,7.148,tsmo,35353
Full ensemble,6324.5093,5858.377,2270.1177,2259.7393,35.89,38.57,14.0,14.87,176.8999,163.2297,2.8,2.79,57.6,63.2,1561.2924,1552.0107,24.69,26.49,708.8252,707.7283,236691,4.162,cranberry,12395
