method,total_excess_lh,total_abnormal_lh,method_excess_lh,method_abnormal_lh,method_pct_total_excess,method_pct_total_abnormal,incident_reports_pct_excess,incident_reports_pct_abnormal,incident_excluded_excess_lh,incident_excluded_abnormal_lh,incident_excluded_pct_excess,incident_excluded_pct_abnormal,incident_excluded_near_zero_exc,incident_excluded_near_zero_abn,detector_only_excess_lh,detector_only_abnormal_lh,detector_only_pct_excess,detector_only_pct_abnormal,overlap_excess_lh,overlap_abnormal_lh,labeled_steps,anomaly_rate_pct,n_episodes,dur_median,dur_mean,dur_p90,network,stage
1. Raw OR (no filter),7874.8789,6751.2139,4244.3193,4079.8877,53.9,60.43,5.75,6.5,77.5779,65.1801,0.99,0.97,69.7,78.4,3868.77,3706.3354,49.13,54.9,375.5491,373.5521,2245496,27.154,1299685,5.0,8.63861628009864,15.0,TSMO,1. Raw OR (no filter)
2. + Persistence 15min,7874.8789,6751.2139,2983.9829,2924.3745,37.89,43.32,5.75,6.5,93.8365,80.4541,1.19,1.19,69.7,77.5,2624.6924,2566.0962,33.33,38.01,359.2905,358.2781,767500,9.281,168693,15.0,22.748424653068,35.0,TSMO,2. + Persistence 15min
3. + Persistence 30min,7874.8789,6751.2139,2542.9883,2524.3416,32.29,37.39,5.75,6.5,103.7517,89.6799,1.32,1.33,69.0,76.7,2193.613,2175.2896,27.86,32.22,349.3752,349.0522,290331,3.511,27974,40.0,51.8930077929506,85.0,TSMO,3. + Persistence 30min
4. + Confirmation (from 15min),7874.8789,6751.2139,2380.8796,2347.9202,30.23,34.78,5.75,6.5,137.5744,124.0309,1.75,1.84,66.7,73.9,2065.3271,2033.2186,26.23,30.12,315.5525,314.7013,259185,3.134,41883,20.0,30.941551464794784,60.0,TSMO,4. + Confirmation (from 15min)
4b.+ Confirmation (from 5min),7874.8789,6751.2139,2380.8796,2347.9202,30.23,34.78,5.75,6.5,137.5744,124.0309,1.75,1.84,66.7,73.9,2065.3271,2033.2186,26.23,30.12,315.5525,314.7013,259185,3.134,41883,20.0,30.941551464794784,60.0,TSMO,4b.+ Confirmation (from 5min)
5. Full ensemble (+ recovery),7874.8789,6751.2139,3769.5925,3518.7131,47.87,52.12,5.75,6.5,42.7223,36.8432,0.54,0.55,75.9,80.9,3359.188,3116.8242,42.66,46.17,410.4047,401.889,430754,5.209,37006,35.0,58.20056207101551,130.0,TSMO,5. Full ensemble (+ recovery)
1. Raw OR (no filter),6324.5093,5858.377,4389.062,4283.1411,69.4,73.11,14.0,14.87,72.8767,61.4585,1.15,1.05,63.9,70.9,3576.2139,3473.6416,56.55,59.29,812.8484,809.4995,2049564,36.039,1032841,5.0,9.921972501091648,15.0,Cranberry,1. Raw OR (no filter)
2. + Persistence 15min,6324.5093,5858.377,3224.2371,3182.4346,50.98,54.32,14.0,14.87,120.6985,107.428,1.91,1.83,62.1,68.4,2459.2104,2418.9048,38.88,41.29,765.0266,763.53,903116,15.88,184472,15.0,24.478403226505918,35.0,Cranberry,2. + Persistence 15min
3. + Persistence 30min,6324.5093,5858.377,2647.5315,2634.0396,41.86,44.96,14.0,14.87,148.1379,134.1217,2.34,2.29,60.6,66.6,1909.9443,1897.2031,30.2,32.38,737.5872,736.8363,381148,6.702,34921,35.0,54.57289310157212,85.0,Cranberry,3. + Persistence 30min
4. + Confirmation (from 15min),6324.5093,5858.377,1957.506,1954.731,30.95,33.37,14.0,14.87,274.1492,259.6047,4.33,4.43,53.6,58.9,1345.9302,1343.3777,21.28,22.93,611.5758,611.3533,139419,2.451,14085,25.0,49.49201277955272,100.0,Cranberry,4. + Confirmation (from 15min)
4b.+ Confirmation (from 5min),6324.5093,5858.377,1957.506,1954.731,30.95,33.37,14.0,14.87,274.1492,259.6047,4.33,4.43,53.6,58.9,1345.9302,1343.3777,21.28,22.93,611.5758,611.3533,139419,2.451,14085,25.0,49.49201277955272,100.0,Cranberry,4b.+ Confirmation (from 5min)
5. Full ensemble (+ recovery),6324.5093,5858.377,2134.4653,2130.9778,33.75,36.37,14.0,14.87,230.6502,216.2059,3.65,3.69,56.4,62.1,1479.3909,1476.2258,23.39,25.2,655.0748,654.7521,181397,3.19,12719,30.0,71.30945829074612,150.0,Cranberry,5. Full ensemble (+ recovery)
